# 词	编码	人工权重	分类	类型	实体	来源	核对日期
一致性哈希	yi zhi xing ha xi	15	工程与交付	term	一致性哈希	thuocl-it	2026-09-17
一致性检验	yi zhi xing jian yan	15	工程与交付	term	一致性检验	thuocl-it	2026-09-17
一致性测试	yi zhi xing ce shi	15	工程与交付	term	一致性测试	thuocl-it	2026-09-17
一致性约束	yi zhi xing yue shu	15	工程与交付	term	一致性约束	thuocl-it	2026-09-17
上下文切换	shang xia wen qie huan	15	系统与并发	term	上下文切换	thuocl-it	2026-09-17
业务层	ye wu ceng	15	语言与架构	term	业务层	thuocl-it	2026-09-17
业务流程管理	ye wu liu cheng guan li	15	语言与架构	term	业务流程管理	thuocl-it	2026-09-17
业务理解	ye wu li jie	15	语言与架构	term	业务理解	thuocl-it	2026-09-17
业务知识	ye wu zhi shi	15	语言与架构	term	业务知识	thuocl-it	2026-09-17
业务逻辑	ye wu luo ji	15	语言与架构	term	业务逻辑	thuocl-it	2026-09-17
中间件	zhong jian jian	15	语言与架构	term	中间件	thuocl-it	2026-09-17
临界区	lin jie qu	15	系统与并发	term	临界区	thuocl-it	2026-09-17
临界控制	lin jie kong zhi	15	系统与并发	term	临界控制	thuocl-it	2026-09-17
临界资源	lin jie zi yuan	15	系统与并发	term	临界资源	thuocl-it	2026-09-17
主键生成策略	zhu jian sheng cheng ce lve	15	数据与存储	term	主键生成策略	thuocl-it	2026-09-17
主键策略	zhu jian ce lve	15	数据与存储	term	主键策略	thuocl-it	2026-09-17
事件代理	shi jian dai li	15	前端与应用	term	事件代理	thuocl-it	2026-09-17
事件传递	shi jian chuan di	15	前端与应用	term	事件传递	thuocl-it	2026-09-17
事件传递机制	shi jian chuan di ji zhi	15	前端与应用	term	事件传递机制	thuocl-it	2026-09-17
事件冲突	shi jian chong tu	15	前端与应用	term	事件冲突	thuocl-it	2026-09-17
事件分发	shi jian fen fa	15	前端与应用	term	事件分发	thuocl-it	2026-09-17
事件分发机制	shi jian fen fa ji zhi	15	前端与应用	term	事件分发机制	thuocl-it	2026-09-17
事件响应	shi jian xiang ying	15	前端与应用	term	事件响应	thuocl-it	2026-09-17
事件处理机制	shi jian chu li ji zhi	15	前端与应用	term	事件处理机制	thuocl-it	2026-09-17
事件对象	shi jian dui xiang	15	前端与应用	term	事件对象	thuocl-it	2026-09-17
事件引擎	shi jian yin qing	15	前端与应用	term	事件引擎	thuocl-it	2026-09-17
事件循环	shi jian xun huan	15	前端与应用	term	事件循环	thuocl-it	2026-09-17
事件报告	shi jian bao gao	15	前端与应用	term	事件报告	thuocl-it	2026-09-17
事件拦截	shi jian lan jie	15	前端与应用	term	事件拦截	thuocl-it	2026-09-17
事件控制	shi jian kong zhi	15	前端与应用	term	事件控制	thuocl-it	2026-09-17
事件控制块	shi jian kong zhi kuai	15	前端与应用	term	事件控制块	thuocl-it	2026-09-17
事件描述	shi jian miao shu	15	前端与应用	term	事件描述	thuocl-it	2026-09-17
事件方式	shi jian fang shi	15	前端与应用	term	事件方式	thuocl-it	2026-09-17
事件机制	shi jian ji zhi	15	前端与应用	term	事件机制	thuocl-it	2026-09-17
事件查询	shi jian cha xun	15	前端与应用	term	事件查询	thuocl-it	2026-09-17
事件模型	shi jian mo xing	15	前端与应用	term	事件模型	thuocl-it	2026-09-17
