# 词	编码	人工权重	分类	类型	实体	来源	核对日期
一元语法	yi yuan yu fa	20	教材术语	term	一元语法	d2l	2026-09-17
一次通过率	yi ci tong guo lv	20	评估	term	一次通过率	curated	2026-09-17
一维卷积	yi wei juan ji	20	架构	term	一维卷积	curated	2026-09-17
一致估计	yi zhi gu ji	20	数学	term	一致估计	curated	2026-09-17
一致性	yi zhi xing	20	评估	term	一致性	curated	2026-09-17
一致性模型	yi zhi xing mo xing	20	架构	term	一致性模型	curated	2026-09-17
一阶马尔可夫模型	yi jie ma er ke fu mo xing	20	教材术语	term	一阶马尔可夫模型	d2l	2026-09-17
三元组损失	san yuan zu sun shi	20	训练	term	三元组损失	curated	2026-09-17
三元语法	san yuan yu fa	20	教材术语	term	三元语法	d2l	2026-09-17
三维卷积	san wei juan ji	20	架构	term	三维卷积	curated	2026-09-17
三维并行	san wei bing xing	20	训练	term	三维并行	curated	2026-09-17
三维理解	san wei li jie	20	视觉	term	三维理解	curated	2026-09-17
三维生成	san wei sheng cheng	20	视觉	term	三维生成	curated	2026-09-17
三维重建	san wei chong jian	20	视觉	term	三维重建	curated	2026-09-17
三维高斯泼溅	san wei gao si po jian	20	视觉	term	三维高斯泼溅	curated	2026-09-17
上下文	shang xia wen	20	教材术语	term	上下文	d2l	2026-09-17
上下文劫持	shang xia wen jie chi	20	安全	term	上下文劫持	curated	2026-09-17
上下文压缩	shang xia wen ya suo	20	检索	term	上下文压缩	curated	2026-09-17
上下文去重	shang xia wen qu chong	20	检索	term	上下文去重	curated	2026-09-17
上下文增强	shang xia wen zeng qiang	20	检索	term	上下文增强	curated	2026-09-17
上下文并行	shang xia wen bing xing	20	训练	term	上下文并行	curated	2026-09-17
上下文截断	shang xia wen jie duan	20	智能体	term	上下文截断	curated	2026-09-17
上下文拼接	shang xia wen pin jie	20	检索	term	上下文拼接	curated	2026-09-17
上下文提示	shang xia wen ti shi	20	提示	term	上下文提示	curated	2026-09-17
上下文摘要	shang xia wen zhai yao	20	智能体	term	上下文摘要	curated	2026-09-17
上下文检索	shang xia wen jian suo	20	检索	term	上下文检索	curated	2026-09-17
上下文窗口	shang xia wen chuang kou	20	智能体	term	上下文窗口	curated	2026-09-17
上下文管理	shang xia wen guan li	20	智能体	term	上下文管理	curated	2026-09-17
上下文裁剪	shang xia wen cai jian	20	智能体	term	上下文裁剪	curated	2026-09-17
上下文词	shang xia wen ci	20	教材术语	term	上下文词	d2l	2026-09-17
上下文赌博机	shang xia wen du bo ji	20	算法	term	上下文赌博机	curated	2026-09-17
上下文重排	shang xia wen chong pai	20	检索	term	上下文重排	curated	2026-09-17
上下文隔离	shang xia wen ge li	20	智能体	term	上下文隔离	curated	2026-09-17
上下文预算	shang xia wen yu suan	20	智能体	term	上下文预算	curated	2026-09-17
上置信界	shang zhi xin jie	20	算法	term	上置信界	curated	2026-09-17
上采样	shang cai yang	20	教材术语	term	上采样	d2l	2026-09-17
下一句预测	xia yi ju yu ce	20	训练	term	下一句预测	curated	2026-09-17
下一词预测	xia yi ci yu ce	20	训练	term	下一词预测	curated	2026-09-17
下水平集	xia shui ping ji	20	教材术语	term	下水平集	d2l	2026-09-17
下采样	xia cai yang	20	教材术语	term	下采样	d2l	2026-09-17
