# 词	编码	人工权重	分类	类型	实体	来源	核对日期
A2A	a2a	20	技术缩写	english	A2A	curated	2026-09-17
AGI	agi	20	技术缩写	english	AGI	curated	2026-09-17
AI	ai	20	技术缩写	english	AI	curated	2026-09-17
AI助手	ai zhu shou	20	混合名称	mixed	AI助手	curated	2026-09-17
AI工具	ai gong ju	20	混合名称	mixed	AI工具	curated	2026-09-17
AI应用	ai ying yong	20	混合名称	mixed	AI应用	curated	2026-09-17
AI推理	ai tui li	20	混合名称	mixed	AI推理	curated	2026-09-17
AI搜索	ai sou suo	20	混合名称	mixed	AI搜索	curated	2026-09-17
AI智能体	ai zhi neng ti	20	混合名称	mixed	AI智能体	curated	2026-09-17
AI模型	ai mo xing	20	混合名称	mixed	AI模型	curated	2026-09-17
AI生成	ai sheng cheng	20	混合名称	mixed	AI生成	curated	2026-09-17
AI绘画	ai hui hua	20	混合名称	mixed	AI绘画	curated	2026-09-17
AI编程	ai bian cheng	20	混合名称	mixed	AI编程	curated	2026-09-17
AI语音	ai yu yin	20	混合名称	mixed	AI语音	curated	2026-09-17
ASI	asi	20	技术缩写	english	ASI	curated	2026-09-17
ASR	asr	20	技术缩写	english	ASR	curated	2026-09-17
AWQ	awq	20	技术缩写	english	AWQ	curated	2026-09-17
Alibaba	alibaba	40	厂商与模型	english	Alibaba	qwen	2026-09-17
Anthropic	anthropic	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
BERT	bert	20	技术缩写	english	BERT	curated	2026-09-17
BM25	bm25	20	技术缩写	english	BM25	curated	2026-09-17
Baidu	baidu	40	厂商与模型	english	Baidu	baidu	2026-09-17
ByteDance	bytedance	40	厂商与模型	english	ByteDance	bytedance	2026-09-17
CNN	cnn	20	技术缩写	english	CNN	curated	2026-09-17
CUDA	cuda	20	技术缩写	english	CUDA	curated	2026-09-17
CV	cv	20	技术缩写	english	CV	curated	2026-09-17
ChatGPT	chatgpt	40	厂商与模型	english	OpenAI	openai	2026-09-17
Chroma	chroma	20	技术缩写	english	Chroma	curated	2026-09-17
Claude	claude	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
Claude Fable 5.1	claudefable51	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
Claude Haiku 4.5	claudehaiku45	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
Claude Opus 5	claudeopus5	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
Claude Sonnet 5	claudesonnet5	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
CoT	cot	20	技术缩写	english	CoT	curated	2026-09-17
Codex	codex	40	厂商与模型	english	OpenAI	openai	2026-09-17
Copilot	copilot	40	厂商与模型	english	Microsoft	microsoft	2026-09-17
DL	dl	20	技术缩写	english	DL	curated	2026-09-17
DPO	dpo	20	技术缩写	english	DPO	curated	2026-09-17
DeepSeek	deepseek	40	厂商与模型	english	DeepSeek	deepseek	2026-09-17
DeepSeek-V4.1-Flash	deepseekv41flash	40	厂商与模型	english	DeepSeek	deepseek	2026-09-17
Diffusers	diffusers	20	技术缩写	english	Diffusers	curated	2026-09-17
Doubao	doubao	40	厂商与模型	english	ByteDance	bytedance	2026-09-17
ERNIE	ernie	40	厂商与模型	english	Baidu	baidu	2026-09-17
Elasticsearch	elasticsearch	20	技术缩写	english	Elasticsearch	curated	2026-09-17
FAISS	faiss	20	技术缩写	english	FAISS	curated	2026-09-17
Fable	fable	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
GAN	gan	20	技术缩写	english	GAN	curated	2026-09-17
GGUF	gguf	20	技术缩写	english	GGUF	curated	2026-09-17
GLM	glm	40	厂商与模型	english	Zhipu	zhipu	2026-09-17
GLM-4.6	glm46	40	厂商与模型	english	Zhipu	zhipu	2026-09-17
GLM-5.2	glm52	40	厂商与模型	english	Zhipu	zhipu	2026-09-17
GLM-Image	glmimage	40	厂商与模型	english	Zhipu	zhipu	2026-09-17
GNN	gnn	20	技术缩写	english	GNN	curated	2026-09-17
GPT	gpt	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-4o Mini TTS	gpt4ominitts	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-5.6 Luna	gpt56luna	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-5.6 Sol	gpt56sol	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-5.6 Terra	gpt56terra	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-6 Astra	gpt6astra	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-Image-2.5 Flare	gptimage25flare	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-Image-2.5 Sunburst	gptimage25sunburst	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPT-Live 1	gptlive1	40	厂商与模型	english	OpenAI	openai	2026-09-17
GPTQ	gptq	20	技术缩写	english	GPTQ	curated	2026-09-17
GRPO	grpo	20	技术缩写	english	GRPO	curated	2026-09-17
GRU	gru	20	技术缩写	english	GRU	curated	2026-09-17
Gemini	gemini	40	厂商与模型	english	Google	google	2026-09-17
Gemini 3.1 Pro	gemini31pro	40	厂商与模型	english	Google	google	2026-09-17
Gemini 3.6 Flash	gemini36flash	40	厂商与模型	english	Google	google	2026-09-17
Gemini 3.7 Flash	gemini37flash	40	厂商与模型	english	Google	google	2026-09-17
Gemini 3.8 Flash	gemini38flash	40	厂商与模型	english	Google	google	2026-09-17
Gemini 3.8 Live	gemini38live	40	厂商与模型	english	Google	google	2026-09-17
Gemini Embedding	geminiembedding	40	厂商与模型	english	Google	google	2026-09-17
Gemini Omni Flash	geminiomniflash	40	厂商与模型	english	Google	google	2026-09-17
Gemma	gemma	40	厂商与模型	english	Google	google	2026-09-17
GoT	got	20	技术缩写	english	GoT	curated	2026-09-17
Google	google	40	厂商与模型	english	Google	google	2026-09-17
GraphRAG	graphrag	20	技术缩写	english	GraphRAG	curated	2026-09-17
Grok	grok	40	厂商与模型	english	xAI	xai	2026-09-17
Grok 4.20	grok420	40	厂商与模型	english	xAI	xai	2026-09-17
HNSW	hnsw	20	技术缩写	english	HNSW	curated	2026-09-17
Haiku	haiku	40	厂商与模型	english	Anthropic	anthropic	2026-09-17
HuggingFace	huggingface	20	技术缩写	english	HuggingFace	curated	2026-09-17
Hunyuan	hunyuan	40	厂商与模型	english	Tencent	tencent	2026-09-17
IVF	ivf	20	技术缩写	english	IVF	curated	2026-09-17
Imagen	imagen	40	厂商与模型	english	Google	google	2026-09-17
JAX	jax	20	技术缩写	english	JAX	curated	2026-09-17
Kimi	kimi	40	厂商与模型	english	Moonshot AI	moonshot	2026-09-17
Kimi K2.6	kimik26	40	厂商与模型	english	Moonshot AI	moonshot	2026-09-17
