# 网络用语与聊天短语候选表（起草，待维护者审）。2026-09-22，收词标准、次数档位与接入命令见同目录 README.md。
# 来源：起草者自身的中文互联网知识，没有抄任何外部词表，无许可约束；每条都对着 dict.tsv / lm-unigram.tsv / phrases.tsv / common_words.tsv / domain_words.tsv 标了现状。
# 建议次数与 dict.tsv 词频同一尺度。汉字词三档：低 20、中 200、高 2000；中英混杂另按 mixed_words.tsv 的尺度：低 300、中 2000、高 8000。
# gaps 合成次数高于档位值时取合成次数（与 common_words.tsv 的做法一致）。词库现状为「已有」的默认不进（supplement 会跳过已有词），保留在表里供比对。
词	拼音	类别	说明	建议次数	词库现状
躺平	tang ping	slang	放弃努力不再挣扎	-	已有（词库 191，模型 352，来自补充常用词）
内卷	nei juan	slang	无意义的过度竞争	-	已有（词库 80，模型 192，来自补充常用词）
太卷了	tai juan le	slang	竞争太激烈	200	缺（成分拆不出，无合成次数）
内耗	nei hao	slang	自己跟自己较劲	-	已有（词库 20，模型 101）
精神内耗	jing shen nei hao	slang	反复自我消耗很疲惫	200	缺（成分拆不出，无合成次数）
摆烂	bai lan	slang	破罐破摔不再努力	2000	缺（合成 25）
开摆	kai bai	slang	开始摆烂不管了	200	缺（成分拆不出，无合成次数）
破防	po fang	slang	心理防线被击穿	-	已有（词库 20，模型 35，来自补充常用词）
破防了	po fang le	slang	被戳中情绪绷不住	2000	缺（成分拆不出，无合成次数）
破大防	po da fang	slang	特别破防	200	缺（成分拆不出，无合成次数）
上头	shang tou	slang	一时冲动特别入迷	-	已有（词库 598，模型 1060）
下头	xia tou	slang	让人扫兴没了兴致	-	已有（词库 131，模型 203）
社死	she si	slang	当众出丑极度尴尬	2000	缺（成分拆不出，无合成次数）
社死现场	she si xian chang	slang	尴尬到极点的场面	200	缺（成分拆不出，无合成次数）
蚌埠住了	beng bu zhu le	slang	没绷住笑了	200	缺（成分拆不出，无合成次数）
绷不住	beng bu zhu	slang	忍不住笑或情绪失控	2000	缺（成分拆不出，无合成次数）
松弛感	song chi gan	slang	不紧绷的从容状态	200	缺（成分拆不出，无合成次数）
班味	ban wei	slang	上班熬出的疲惫气质	200	缺（成分拆不出，无合成次数）
发疯	fa feng	slang	情绪外放胡言乱语	-	已有（词库 838，模型 1269）
