# 补充常用词：词库与语言模型都没有、却是日常会整块打的词（取餐 / 弹出 / 这时 / 播放器 / 一十，上游 issue #98 #121 #127）。2026-09-17，做法见 docs/notes/common-words.md。
# 白名单：CC-CEDICT（CC BY-SA 4.0，MDBG 2026-09-15 版）与 jieba 词表 dict.txt（MIT）里词库没有的词，用 dict-convert gaps 按 lm.qj 成分二元合成语料次数，
# CEDICT 词 ≥ 200 次、jieba 独有词 ≥ 1000 次、去掉短语边界规则挡住的，逐条人工审（只留常用词，丢碎片 / 专名 / 百科腔 / 生僻，核多音字读音）；
# 另加手机电脑界面与生活服务常用词的人工清单（弹窗 / 长按 / 登录框 / 快递柜 …），次数同样按语料合成。
# 次数与 dict.tsv 词频同一尺度，不到 20 的按 20 计；读音全部给定。进语言模型走 bigram --phrases 的合成路（supplement 在已有 lm.qj 上做同样的合成）。词\t次数\t拼音
人口密度	60057	ren kou mi du
总面积	40847	zong mian ji
总人口	39740	zong ren kou
平方千米	39194	ping fang qian mi
人口普查	21046	ren kou pu cha
你我	15073	ni wo
又名	14499	you ming
全国人大	13074	quan guo ren da
人大代表	12404	ren da dai biao
名为	12177	ming wei
副主任	11435	fu zhu ren
奥地利	10951	ao di li
全国政协	10548	quan guo zheng xie
分为	9773	fen wei
世界大战	8873	shi jie da zhan
又称	8854	you cheng
西班牙语	7967	xi ban ya yu
将会	7605	jiang hui
官方网站	7437	guan fang wang zhan
中共中央	6948	zhong gong zhong yang
民主党	6893	min zhu dang
北海道	6879	bei hai dao
无症状	6729	wu zheng zhuang
葡萄牙	6522	pu tao ya
罗马尼亚	6454	luo ma ni ya
制作人	6449	zhi zuo ren
历史上	6412	li shi shang
工作室	6090	gong zuo shi
联合会	5895	lian he hui
每日	5815	mei ri
主题曲	5805	zhu ti qu
足球队	5654	zu qiu dui
女主角	5560	nv zhu jue
领导人	5409	ling dao ren
十月	5396	shi yue
河南省	5261	he nan sheng
女演员	5238	nv yan yuan
大规模	4973	da gui mo
外交部	4936	wai jiao bu
代表团	4782	dai biao tuan
电视节目	4697	dian shi jie mu
两者	4475	liang zhe
降雨量	4130	jiang yu liang
男主角	4037	nan zhu jue
博士学位	3965	bo shi xue wei
二月	3937	er yue
出入口	3866	chu ru kou
轨道交通	3762	gui dao jiao tong
意识到	3679	yi shi dao
第一名	3672	di yi ming
送到	3602	song dao
受害者	3588	shou hai zhe
这类	3491	zhe lei
影响力	3448	ying xiang li
可能性	3401	ke neng xing
综艺节目	3389	zong yi jie mu
接到	3388	jie dao
历史学家	3371	li shi xue jia
事实上	3350	shi shi shang
电子游戏	3340	dian zi you xi
公共交通	3268	gong gong jiao tong
工作者	3254	gong zuo zhe
国防部	3203	guo fang bu
十二月	3178	shi er yue
使用者	3157	shi yong zhe
总决赛	3156	zong jue sai
十一月	3099	shi yi yue
研究中心	3076	yan jiu zhong xin
任何人	3062	ren he ren
新冠肺炎	2954	xin guan fei yan
大城市	2952	da cheng shi
硕士学位	2930	shuo shi xue wei
记者会	2930	ji zhe hui
另一方面	2878	ling yi fang mian
大学毕业	2836	da xue bi ye
受欢迎	2762	shou huan ying
孩子们	2751	hai zi men
电影节	2743	dian ying jie
代表队	2740	dai biao dui
动车组	2733	dong che zu
评论家	2715	ping lun jia
抗日战争	2702	kang ri zhan zheng
支持者	2698	zhi chi zhe
每月	2632	mei yue
最少	2536	zui shao
广州市	2531	guang zhou shi
重要性	2513	zhong yao xing
男演员	2510	nan yan yuan
来源于	2504	lai yuan yu
外国人	2480	wai guo ren
手中	2444	shou zhong
哲学家	2430	zhe xue jia
这时	2359	zhe shi
漫画家	2353	man hua jia
处理器	2305	chu li qi
清华大学	2303	qing hua da xue
大学教授	2293	da xue jiao shou
志愿者	2280	zhi yuan zhe
这天	2248	zhe tian
普通人	2244	pu tong ren
几分钟	2218	ji fen zhong
音乐节	2213	yin yue jie
爱好者	2208	ai hao zhe
上一个	2181	shang yi ge
下一次	2177	xia yi ci
不佳	2146	bu jia
留下来	2113	liu xia lai
资格赛	2086	zi ge sai
取决于	2083	qu jue yu
每天晚上	2083	mei tian wan shang
每晚	2062	mei wan
制造商	2059	zhi zao shang
世界各地	2058	shi jie ge di
仅次于	2058	jin ci yu
方程式	2054	fang cheng shi
说完	2049	shuo wan
随你	2037	sui ni
心理学	2034	xin li xue
走出	2033	zou chu
主打歌	2023	zhu da ge
物理学家	2020	wu li xue jia
看清楚	2014	kan qing chu
打篮球	2012	da lan qiu
下午茶	2005	xia wu cha
脑子里	2001	nao zi li
物理学	1993	wu li xue
消费者	1992	xiao fei zhe
星期日	1980	xing qi ri
打广告	1972	da guang gao
没准	1963	mei zhun
洗衣服	1961	xi yi fu
大学城	1960	da xue cheng
音乐剧	1960	yin yue ju
考虑一下	1953	kao lv yi xia
大火	1951	da huo
生日礼物	1933	sheng ri li wu
掉下来	1925	diao xia lai
人设	1923	ren she
感谢您	1915	gan xie nin
科长	1913	ke zhang
难不成	1893	nan bu cheng
爬起来	1887	pa qi lai
婚纱照	1885	hun sha zhao
试一下	1878	shi yi xia
一年级	1869	yi nian ji
反对派	1863	fan dui pai
打错字	1863	da cuo zi
用到	1860	yong dao
篮球队	1858	lan qiu dui
拍出来	1854	pai chu lai
上个月	1847	shang ge yue
负责任	1839	fu ze ren
感受一下	1837	gan shou yi xia
锻炼身体	1832	duan lian shen ti
最好是	1826	zui hao shi
没用过	1826	mei yong guo
上下车	1822	shang xia che
小说家	1816	xiao shuo jia
出问题	1815	chu wen ti
大结局	1810	da jie ju
足球赛	1805	zu qiu sai
动画电影	1803	dong hua dian ying
解释一下	1801	jie shi yi xia
长得帅	1798	zhang de shuai
双下巴	1795	shuang xia ba
浪费时间	1795	lang fei shi jian
有魅力	1789	you mei li
预告片	1787	yu gao pian
流行音乐	1786	liu xing yin yue
正常人	1783	zheng chang ren
太过分	1772	tai guo fen
吃宵夜	1771	chi xiao ye
说起	1767	shuo qi
无法自拔	1766	wu fa zi ba
节目组	1763	jie mu zu
待会	1761	dai hui
手机号	1759	shou ji hao
不忍心	1755	bu ren xin
熊孩子	1747	xiong hai zi
发工资	1746	fa gong zi
有能力	1744	you neng li
用完	1744	yong wan
粉红色	1742	fen hong se
当地人	1741	dang di ren
治好	1741	zhi hao
这方面	1739	zhe fang mian
无论是	1738	wu lun shi
转到	1726	zhuan dao
不满意	1725	bu man yi
不舍	1723	bu she
练习生	1721	lian xi sheng
公众人物	1720	gong zhong ren wu
好莱坞	1713	hao lai wu
两分钟	1712	liang fen zhong
电动车	1712	dian dong che
那一刻	1706	na yi ke
没多久	1705	mei duo jiu
键盘侠	1705	jian pan xia
第一轮	1695	di yi lun
段子手	1693	duan zi shou
照镜子	1693	zhao jing zi
追溯到	1689	zhui su dao
家门口	1687	jia men kou
打不过	1687	da bu guo
买家	1682	mai jia
另一半	1678	ling yi ban
坐下	1677	zuo xia
什么地方	1676	shen me di fang
吃零食	1671	chi ling shi
站点	1670	zhan dian
不给力	1666	bu gei li
背景音乐	1662	bei jing yin yue
到不行	1660	dao bu xing
文化遗产	1657	wen hua yi chan
有资格	1639	you zi ge
抓紧时间	1636	zhua jin shi jian
数学家	1630	shu xue jia
节点	1622	jie dian
垃圾桶	1619	la ji tong
购物车	1615	gou wu che
保护区	1615	bao hu qu
哪一个	1614	na yi ge
看错	1614	kan cuo
偶像剧	1613	ou xiang ju
买下	1612	mai xia
改名字	1611	gai ming zi
支持率	1610	zhi chi lv
外地人	1605	wai di ren
旅途愉快	1595	lv tu yu kuai
坐地铁	1592	zuo di tie
活下去	1590	huo xia qu
发电厂	1581	fa dian chang
坚持下去	1574	jian chi xia qu
高中毕业	1569	gao zhong bi ye
跟上	1566	gen shang
新专辑	1539	xin zhuan ji
找回	1538	zhao hui
二年级	1537	er nian ji
交通事故	1536	jiao tong shi gu
没有关系	1533	mei you guan xi
警察局	1532	jing cha ju
聊聊天	1525	liao liao tian
听完	1524	ting wan
无数次	1512	wu shu ci
多年来	1511	duo nian lai
默默地	1511	mo mo de
老天	1504	lao tian
认出来	1499	ren chu lai
新家	1487	xin jia
肚子饿	1485	du zi e
售票机	1481	shou piao ji
卖家	1477	mai jia
